Confusable,Canonical Character,Languages
"n","n","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,kwakiutl,Kwak̕wala,Sgüüx̱s"
"n'","n̓","Secwepemctsín"
"nʼ","n̓","Nsyilxcən,nuučaan̓uł"
"nˈ","n̓","Nsyilxcən,nuučaan̓uł"
"n̍","n̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,Kwak̕wala,kyuquot-checleseht,Nisg̱aʼa,Nɬeʔkepmxcín,nuučaan̓uł,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"n̒","n̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,Kwak̕wala,kyuquot-checleseht,Nisg̱aʼa,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"n̓","n̓","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"n̔","n̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,Kwak̕wala,kyuquot-checleseht,Nisg̱aʼa,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"n̕","n̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,Kwak̕wala,kyuquot-checleseht,Nisg̱aʼa,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"n՚","n̓","Nsyilxcən,nuučaan̓uł"
"n’","n̓","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nsyilxcən,nuučaan̓uł,Secwepemctsín,St̓át̓imcets"
"o","o","Dakelh,kwakiutl,Kwak̕wala,Lingít,Sgüüx̱s"
"o'","o’","Dakelh"
"o'o","oˈo","Sm'algya̱x"
"o:","o:","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"oo","oo","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Sgüüx̱s"
"oo'","oo’","Dakelh"
"ooʼ","oo’","Dakelh"
"ooˈ","oo’","Dakelh"
"oo̓","oo’","Dakelh"
"oo̕","oo’","Dakelh"
"oo՚","oo’","Dakelh"
"oo＇","oo’","Dakelh"
"o¯","ō","Danezāgéʼ,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,nēhiyawēwin,Southern Tutchone,Tāłtān"
"o¯w","ōw","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"o¯y","ōy","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"o¯́","ṓ","Danezāgéʼ,Southern Tutchone"
"oʼ","o’","Dakelh"
"oʼo","oˈo","Sm'algya̱x"
"o̅","ō","Danezāgéʼ,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,nēhiyawēwin,Southern Tutchone,Tāłtān"
"o̅w","ōw","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"o̅y","ōy","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"o̅́","ṓ","Danezāgéʼ,Southern Tutchone"
"o̍","o’","Dakelh"
"o̒","o’","Dakelh"
"o̓","o’","Dakelh"
"o̓","ó","Secwepemctsín"
"o̔","o’","Dakelh"
"o̕","o’","Dakelh"
"o̕o","oˈo","Sm'algya̱x"
"o̠","o̱","Lingít,Tseʼkhene"
"o̠o̠","o̱o̱","Tseʼkhene"
"o̠o̱","o̱o̱","Tseʼkhene"
"o̠o̲","o̱o̱","Tseʼkhene"
"o̱o̠","o̱o̱","Tseʼkhene"
"o̱o̲","o̱o̱","Tseʼkhene"
"o̲","o̱","Lingít,Tseʼkhene"
"o̲o̠","o̱o̱","Tseʼkhene"
"o̲o̱","o̱o̱","Tseʼkhene"
"o̲o̲","o̱o̱","Tseʼkhene"
"o՚","o’","Dakelh"
"o՚o","oˈo","Sm'algya̱x"
"o’o","oˈo","Sm'algya̱x"
"o‾","ō","Danezāgéʼ,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,nēhiyawēwin,Southern Tutchone,Tāłtān"
"o‾w","ōw","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"o‾y","ōy","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"o‾́","ṓ","Danezāgéʼ,Southern Tutchone"
"o︤","ō","Danezāgéʼ,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,nēhiyawēwin,Southern Tutchone,Tāłtān"
"o︤w","ōw","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"o︤y","ōy","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"o︤́","ṓ","Danezāgéʼ,Southern Tutchone"
"o︥","ō","Danezāgéʼ,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,nēhiyawēwin,Southern Tutchone,Tāłtān"
"o︥w","ōw","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"o︥y","ōy","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"o︥́","ṓ","Danezāgéʼ,Southern Tutchone"
"o＇","o’","Dakelh"
"o＇o","oˈo","Sm'algya̱x"
"p","p","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,kwakiutl,Kwak̕wala,Sgüüx̱s"
"p'","p'","Sgüüx̱s"
"p'","pˈ","Sm'algya̱x"
"p'","p̓","Nsyilxcən,Secwepemctsín"
"p'","p̕","she shashishalhem"
"p'","p’","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nuxalk"
"p`","p̓","nuučaan̓uł"
"pʼ","p'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x"
"pʼ","p̓","Nsyilxcən"
"pˈ","p'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Sgüüx̱s,Sm'algya̱x"
"p̀","p̓","ʼWuik̓ala"
"p̍","p'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x"
"p̍","pˈ","Sm'algya̱x"
"p̍","p̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,kwakiutl,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"p̍","p̕","she shashishalhem"
"p̍","p’","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nuxalk"
"p̒","p'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x"
"p̒","pˈ","Sm'algya̱x"
"p̒","p̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,kwakiutl,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"p̒","p̕","she shashishalhem"
"p̒","p’","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nuxalk"
"p̓","p'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x"
"p̓","pˈ","Sm'algya̱x"
"p̓","p̓","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,kwakiutl,Kwak̕wala"
"p̓","p̕","she shashishalhem"
"p̓","p’","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nuxalk"
"p̔","p'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x"
"p̔","pˈ","Sm'algya̱x"
"p̔","p̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,kwakiutl,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"p̔","p̕","she shashishalhem"
"p̔","p’","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nuxalk"
"p̕","p'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x"
"p̕","pˈ","Sm'algya̱x"
"p̕","p̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,kwakiutl,Kwak̕wala,kyuquot-checleseht,Nɬeʔkepmxcín,Nsyilxcən,nuučaan̓uł,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"p̕","p’","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nuxalk"
"p՚","p'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x"
"p’","p'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x"
"p’","pˈ","Sm'algya̱x"
"p’","p̓","Nsyilxcən,nuučaan̓uł,Secwepemctsín"
"p’","p̕","she shashishalhem"
"p＇","p'","Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nisg̱aʼa,Sgüüx̱s,Sm'algya̱x"
"q","q","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"q'","q̓","Nsyilxcən,Secwepemctsín"
"q'","q’","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nuxalk,Tsilhqotʼin"
"q'ʷ","q̓ʷ","Nsyilxcən"
"qw","qw","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"qw'","qw’","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nuxalk,Tsilhqotʼin"
"qwʼ","qw'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"qwʼ","qw’","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nuxalk,Tsilhqotʼin"
"qw՚","qw'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"qw՚","qw’","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nuxalk,Tsilhqotʼin"
"qw’","qw'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"qw’","q̓w","Secwepemctsín"
"qw＇","qw'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"qw＇","qw’","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nuxalk,Tsilhqotʼin"
"qʷ","qʷ","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"qʼ","q'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"qʼ","q̓","Nsyilxcən"
"qʼ","q’","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nuxalk,Tsilhqotʼin"
"qʼʷ","q̓ʷ","Nsyilxcən"
"qˈ","q̓","Nsyilxcən"
"qˈʷ","q̓ʷ","Nsyilxcən"
"q́","q̓","Éy7á7juuthem,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"q́w","q̓w","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"q́ʷ","q̓ʷ","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"q̍","q̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,Kwak̕wala,Nɬeʔkepmxcín,Nsyilxcən,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"q̍v","q̓v","Haíɫzaqvḷa"
"q̍w","q̓w","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Secwepemctsín,St̓át̓imcets"
"q̍ʷ","q̓ʷ","diitiidʔaaʔtx̣,Éy7á7juuthem,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,Nɬeʔkepmxcín,Nsyilxcən,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"q̒","q̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,Kwak̕wala,Nɬeʔkepmxcín,Nsyilxcən,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"q̒v","q̓v","Haíɫzaqvḷa"
"q̒w","q̓w","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Secwepemctsín,St̓át̓imcets"
"q̒ʷ","q̓ʷ","diitiidʔaaʔtx̣,Éy7á7juuthem,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,Nɬeʔkepmxcín,Nsyilxcən,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"q̓","q̓","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"q̓w","q̓w","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"q̓ʷ","q̓ʷ","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"q̔","q̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,Kwak̕wala,Nɬeʔkepmxcín,Nsyilxcən,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"q̔v","q̓v","Haíɫzaqvḷa"
"q̔w","q̓w","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Secwepemctsín,St̓át̓imcets"
"q̔ʷ","q̓ʷ","diitiidʔaaʔtx̣,Éy7á7juuthem,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,Nɬeʔkepmxcín,Nsyilxcən,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"q̕","q̓","diitiidʔaaʔtx̣,Éy7á7juuthem,Haíɫzaqvḷa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Ktunaxa,Kwak̕wala,Nɬeʔkepmxcín,Nsyilxcən,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets,X̄enaksialak̓ala / X̄aʼislak̓ala,ʼWuik̓ala"
"q̕v","q̓v","Haíɫzaqvḷa"
"q̕w","q̓w","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Secwepemctsín,St̓át̓imcets"
"q̕ʷ","q̓ʷ","diitiidʔaaʔtx̣,Éy7á7juuthem,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Kwak̕wala,Nɬeʔkepmxcín,Nsyilxcən,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke"
"q՚","q'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"q՚","q̓","Nsyilxcən"
"q՚","q’","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nuxalk,Tsilhqotʼin"
"q՚ʷ","q̓ʷ","Nsyilxcən"
"q’","q'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"q’","q̓","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nsyilxcən,Secwepemctsín,SENĆOŦEN / Malchosen / Lekwungen / Semiahmoo / TʼSou-ke,St̓át̓imcets"
"q’w","q̓w","Secwepemctsín"
"q’ʷ","q̓ʷ","Nsyilxcən"
"q＇","q'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"q＇","q̓","Nsyilxcən"
"q＇","q’","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nuxalk,Tsilhqotʼin"
"q＇ʷ","q̓ʷ","Nsyilxcən"
"r'","r̓","Secwepemctsín"
"rʼ","r̓","Nsyilxcən,Secwepemctsín,St̓át̓imcets"
"r̕","r̓","Nsyilxcən,Secwepemctsín,St̓át̓imcets"
"s","s","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,kwakiutl,Kwak̕wala,Sgüüx̱s"
"s'","s’","Lingít"
"s_","s̱","Tāłtān"
"sh","sh","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"s̠","s̱","Tāłtān"
"s̠","s̲","Dakelh,Dane-Ẕaa,St̓át̓imcets"
"s̠̒","s̲’","Dakelh"
"s̠̓","s̲’","Dakelh"
"s̠̔","s̲’","Dakelh"
"s̠̕","s̲’","Dakelh"
"s̱","s̲","Dakelh,Dane-Ẕaa,St̓át̓imcets"
"s̲","s̱","Tāłtān"
"s̲̒","s̲’","Dakelh"
"s̲̓","s̲’","Dakelh"
"s̲̔","s̲’","Dakelh"
"s̲̕","s̲’","Dakelh"
"t","t","Dakelh,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,kwakiutl,Kwak̕wala,Sgüüx̱s"
"t ̓","t̓","Éy7á7juuthem"
"t ̓ᶿ","t̓ᶿ","Éy7á7juuthem"
"t'","t'","Dakelh,Sgüüx̱s,X̱aad Kil / X̱aayda Kil"
"t'","tʼ","Danezāgéʼ,Southern Tutchone"
"t'","tˈ","Sm'algya̱x"
"t'","t̓","Nsyilxcən,Secwepemctsín"
"t'","t̕","she shashishalhem"
"t'","t’","Dakelh,Dane-Ẕaa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Lingít,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"th","th","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"thʼ","th'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"th՚","th'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"th’","th'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"th＇","th'","Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓"
"tl","tl","Dakelh"
"tl'","tl'","Dakelh,X̱aad Kil / X̱aayda Kil"
"tl'","tlʼ","Danezāgéʼ,Southern Tutchone"
"tl'","tl̕","she shashishalhem"
"tl'","tl’","Dakelh,Dane-Ẕaa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Lingít,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"tlʼ","tl'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,X̱aad Kil / X̱aayda Kil"
"tlʼ","tl̕","she shashishalhem"
"tlʼ","tl’","Dakelh,Dane-Ẕaa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"tlˈ","tl'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,X̱aad Kil / X̱aayda Kil"
"tlˈ","tlʼ","Danezāgéʼ,Southern Tutchone"
"tlˈ","tl̕","she shashishalhem"
"tlˈ","tl’","Dakelh,Dane-Ẕaa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"tl̒","tl'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,X̱aad Kil / X̱aayda Kil"
"tl̒","tlʼ","Danezāgéʼ,Southern Tutchone"
"tl̒","tl̕","she shashishalhem"
"tl̒","tl’","Dakelh,Dane-Ẕaa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"tl̓","tl'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,X̱aad Kil / X̱aayda Kil"
"tl̓","tlʼ","Danezāgéʼ,Southern Tutchone"
"tl̓","tl̕","she shashishalhem"
"tl̓","tl’","Dakelh,Dane-Ẕaa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"tl̔","tl'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,X̱aad Kil / X̱aayda Kil"
"tl̔","tlʼ","Danezāgéʼ,Southern Tutchone"
"tl̔","tl̕","she shashishalhem"
"tl̔","tl’","Dakelh,Dane-Ẕaa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"tl̕","tl'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,X̱aad Kil / X̱aayda Kil"
"tl̕","tlʼ","Danezāgéʼ,Southern Tutchone"
"tl̕","tl’","Dakelh,Dane-Ẕaa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
"tl̷","tł","kwakiutl,Kwak̕wala"
"tl̸","tł","kwakiutl,Kwak̕wala"
"tl՚","tl'","Dakelh,Gitxsanimx̱-Gitsenimx̱-Gyaanimx̱,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nisg̱aʼa,X̱aad Kil / X̱aayda Kil"
"tl՚","tlʼ","Danezāgéʼ,Southern Tutchone"
"tl՚","tl̕","she shashishalhem"
"tl՚","tl’","Dakelh,Dane-Ẕaa,Hulʼqʼumiʼnumʼ / Halqʼeméylem / hən̓q̓əmin̓əm̓,Nedutʼen / Witsuwitʼen,Nuxalk,Tāłtān,Tseʼkhene,Tsilhqotʼin"
